,37,39,41,59,63,67,75,90,91,99,106,107,116,119,124,129,137,139
0,izar,izar,izar,izar,izar,izar,izar,izar,izar,izar,izar,izar,izar,izar,izar,izar,izar,izar
1,iretargibete,ilbete,"iretargibete,ilbete",ilargibete,ilargibete,ilargibete,"ilargibete,ilargioso",ilargibete,"Ilargioso,ilargibete",ilargioso,ilargibete,ilargibete,ilargibete,ilargibete,ilargibete,argizagioso,argizagibete,argizagibete
2,ilbera,ilbera,ilbera,ilbera,ilbera,ilbera,"ilbera,ilondo",beherapen,"beherantz,beherapen","menduan,saunstian",beherapen,beherapen,beherapen,beherapen,beherapen,beherapen,"argizaribehe,eztiapen","eztiapen,kartiela"
3,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,eguzki,"ekhi,joanes",ekhi
4,bero,bero,bero,bero,bero,bero,bero,bero,bero,bero,bero,bero,bero,bero,bero,bero,"bero,bello",bero
5,sargori,sargori,"sargori,kejoso","sargori,zalasta","sargori,trumoi-,-erre","sargori,zerrepel","sargori,faltso","sargori,sapa,zerrepel",sapa,,"sapa,pisu,egosi","sapa,pisu",sapa,sapa,"sapa,faltso,suspet","goha,suspet",gohin,pisu
6,"gerizpe,geriza",geriza,"gerizpe,itzal","itzal,geriza,erreino",itzal,itzal,"itzal,abaro",itzal,itzal,itzal,itzal,itzal,itzal,itzal,itzal,itzal,"itzal,arrabat","itzal,arrabat"
7,"denbora,egualdi","denbora,egualdi","denbora,egualdi","denbora,egualdi","denbora,egualdi",egualdi,egualdi,"denbora,egualdi",denbora,denbora,"denbora,aro","denbora,aro","denbora,aro","denbora,aro","denbora,aro,sasoin","denbora,aro","denbora,aro,bedau","denbora,aro"
8,haize,haize,"haize,aire",haize,haize,haize,haize,haize,haize,haize,haize,haize,haize,haize,haize,"haize,aire",haize,haize
9,"norteko haize,ife,alemanaizer",ipar,"norteko haize.ipar,beheko haize",ipar,"norteko haize,ipar","norteko haize,ipar,beheko haize","ipar,azpiaize",ipar,ipar,ipar,"ipar,haizebeltz,beheko haize",ipar,ipar,"ipar,beheko haize","norteko haize,ipar,beheko haize,itsaso haize,lapurdiko haize,","norteko haize,beheko haize","beheko haize,ipar","beheko haize,ipar"
10,egoaize,egoaize,"egoaize,goiko haize,haizepel","egoaize,herriko haize",egoaize,egoaize,egoaize,egoaize,egoaize,beheko haize,"haizegorri,egoaize,goiko haize",egoaize,"egoaize,egozuri,beheko haize",egoaize,"egoaize,haizebeltz",egoaize,"egoaize,ahüaize,basahego,mahumet",egoaize
11,zurrunbilo,sorginaize,zurrunbilo,zurrunbilo,zurrunbilo,zurrunbilo,sorginaize,sorginaize,erremolino,"urakan,inguru-inguru",zirimola,zirimola,zirimola,"zirimola,tiruritu","tiruritu,zirimola",mahumet,khübilo,mahumet
12,"haizepe,haizeeskutu","haizepe,haizeoste","haizegorde,haizeeskutu","babes,sarobe",babes,babes,babes,geriza,geriza,beroki,geriza,"malda,geriza","haizeitzal,malda",haizeitzal,"haizolbe,haizeitzal","haizekontra,haizolbe",haizolbe,haizolbe
13,aterpe,aterpe,"aterpe,estalpe","aterki,estalpe,leihor","estalpe,aterpe",aterpe,estalpe,leihor,leihor,aterpe,"leihor,aterpe,geriza","geriza,leihor,aterpe","leihor,aterpe",aterpe,"aterpe,geriza",aterpe,"haizolbe,aterpe",aterpe
14,laino,laino,laino,laino,laino,laino,laino,goibel,goibel,"goibel,nube","odei,laino","odei,laino","laino,odei","laino,odei",odei,odei,odei,odei
15,lainoitsu,lainoitsu,"erlaino,behelaino","sarrasoi,terral",terral,terral,erlaino,laino,laino,laino,bruma,bruma,"bruma,lankar",laino,laino,lainope,"laino,lainozola","laino,lainope"
16,amillanlaino,behelaino,erlaino,lanbro,"azpilaino,gandu","terral,gandu",erlaino,lanbro,herrilaino,laino,laino,bruma,bruma,"laino,lanbro","laino,lanbro","laino,lanbro",laino,laino
17,ilundu,ilundu,ilundu,ilundu,"ilundu,belztu,estali",ilundu,"ilundu,lainotu,estali","itzaldu,ilundu","goibeldu,ilundu",odeitu,"belztu,goibeldu,lainotu","ilundu,goibeldu","belztu,goibeldu",ilundu,"tapatu,belztu,goibeldu,kukutu,odeitu","kukutu,goibeldu","tapatu,ilundu","tapatu,belztu"
18,euri,euri,euri,euri,euri,euri,euri,euri,euri,euri,euri,euri,euri,euri,euri,euri,euri,euri
19,euria da,euria dihardu,euria dihardu,euria ari du,euria ari du,euria ari du,euria ari da,euria ari du,euria ari du,euria ari du,euria ari da,euria ari da,euria ari da,"euria ari da,euria da",euria ari du,euria ari da,euria ari da,euria ari da
20,denborale,"denboratxar,ekaitz","denborale,burruskada",ekaitz,"ekaitz,denborale","trumoiegualdi,denborale,ekaitz","denborale,euriketa",ekaitz,ekaitz,tormenta,"elementa,galarren,tenpestade","elementa,galarren","tenpestade,galarren","tenpestade,galarren","denboratxar,tenpestade,elementa,nekaiztu",denboratxar,"denboragaitz,arogaitz","denboratxar,arotxar,arogaitz,entsarri,intz-harri"
21,"eurigolpe,zaparrada",zaparrada,"zaparrada,eramaitu,idolaz","eurijasa,zaparrada","zaparrada,eurijasa","zaparrada,eurijasa",zaparrada,erauntzi,erauntzi,erauntzi,"erauntsi,euriuhar",erauntsi,euriuhar,"erauntsi,zurrupitan","euribrusta,eurieazarri,tarrapata","erauntsi,lahasi,euriuhar",erauntsi,"isola,euritxarraka"
22,"lanbro,eurixehe",lanbro,"lanbro,sirimiri,euriantz,lanpar",sirimiri,"lanbro,langar","gruma,lanbro","langar,lanbro",langar,langar,langar,lantxurda,lantxurda,"eurixehe,langar","lantzar,eurixirxir",lantzar,lantxurda,lantzar,"lantzar,lantxurda"
23,"trumoi,justuri",trumoi,"justuri,trumoi",trumoi,trumoi,trumoi,ortots,ortots,ortots,odei,iurtzuri,ortzi,"iurtzuri,ortzi","ortzantz,iurtzuri",ortzantz,ortzantz,"ülhüngü,dünda","ülhüngü,dünda"
24,"tximista,irestu",oinesitu,"oinesitu,tximista",tximista,tximista,tximista,oinastura,oinastura,oinastura,tximista,tximista,tximista,tximista,tximista,tximista,tximista,iñhaze,"iñhaze,tximista"
25,irestu,oinesitu,oinestarri,tximista,tximista,tximista,oinastura,airegaizto,airegaizto,"raio,tximista-txispa","ortzi,airegaizto",ortzi,airegaizto,airegaizto,"iurtzuri,airegaizto",airegaizto,iñhaze,dünda
26,odei,euri,"tormenta,zaparrada",ekaitz,"ekaiz,eraso,enbat","ekaitz,trumoi",odei,zaldizko,tormenta,tormenta,galerna,"galera,pesia",ortotz,,ortzaintzaire,"ortzantz,odeiaire","odeiaize,tenpestade",tenpestade
27,uztarku,uztarku,"uztarku,arkoiris",erromako zubi,erromako zubi,erromako zubi,jamgoikoan baranda,erromako zubi,erromako zubi,arkoiris,ortzadar,ortzadar,ortzadar,ortzadar,ortzadar,ortzadar,ortzadar,ortzadar
28,posu,posu,posu,putzuzulo,putzuzulo,posu,baltza,"posu,istil",posu,putzuto,posu,posu,"posu,liska,istil","istil,posu","posu,istil",istil,"istil,baltza","istil,klosko"
29,busti,busti,busti,busti,busti,busti,busti,busti,busti,busti,busti,busti,busti,"busti,trenpatu",busti,busti,"busti,trenpatu","busti,bustatu"
30,muna jausi,luperi,"lurrikari,nar",lurjausi,luezi,luezi,"gerrietu,lurjausi",lurmendi,lurmendi,,errestan,lehertze,"litatu,lehertze",lehertze,"lerratu,larrutu,lehertze","larrutu,lerratu",lurthatu,lurthatu
31,aterrune,aterbitarte,"aterrarte,aterri",aterri,aterrune,aterrune,"aterkuntza,aterri,atertu",aterkuntza,aterkuntza,atertu,"aterri,aterrarte",aterrarte,"aterri,aterrarte",aterrarte,"atertu,aterri,aterrarte,zeruzahar","aterrarte,aterri","atertu,aterri,zeruzahar,jauntziarte,aterrarte","leiho,zeruzahar,aterrarte,aterri"
32,"siketa,lehorte",siketa,"lehorte,siketa",lehorte,lehorte,lehorte,"sekura,seko,sekia",idorte,idorte,,idorte,idorte,idorte,idorte,idorte,idorte,idorte,idorte
33,"sikatu,agortu",agortu,"agortu,sikatu","agortu,ahitu","agortu,lehortu","sikatu,lehortu,agortu",sikatu,agortu,agortu,xukatu,agortu,agortu,agortu,agortu,agortu,agortu,agortu,agortu
34,harri,harri,"harri,hazkabar",harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri,harri
35,txingor,txingor,"txingor,kizkor","txingor,abazuza","kazkabar,txingor",kazkabar,kazkabar,kazkabar,"kazkabar,zizerkor","granizo,txitxor",abazuza,abazuza,abazuza,babazizkor,babazizkor,"txitxor,abazuza","kazkabar,txitxor",txitxor
36,"ondatu,apurtu",apurtu,"zulatu,ondatu,zuzitu,austi,pikau",ondatu,"ondatu,desegin,txikitu","ondatu,izorratu,txikitu","txikitu,hautsi,puzkatu,ondatu","xehatu,porrokatu","arrasatau,xehatu,ondatu,desegin",galtzaegotzi,"xehatu,funditu,ondatu","funditu,ondatu,andeatu","xehatu,ondatu,suntsitu,funditu","zirtzilikatu,andeatu,suntsitu,funditu,xehakatu","funditu,xehatu,porrokatu,xingolatu,urratu,zirtzilikatu,zaflatu,inpuldu,deoilatu,andeatu,sntsitu","xehakatu,andeatu","arrabaztu,arrabazki,xehatu,porroki,txarpatu","xehakatu,txarpatu,porroki,xehatu,andeatu,itxes,degat,ilunkatu"
37,"ihintz,inontz",ihintz,inontz,ihintz,"ihintz,basura",ihintz,"sereno,ihintz",ihintz,ihintz,aguazon,ihintz,,ihintz,"izarrihintz,ihintz","mana,ihintz,xeden",izarrihintz,"zohartihitz,ihintz,xeden","ihintz,xeden"
38,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz,hotz
39,"friolero,hozpera",hotzikara,"hotzakil,hozpera",hozkil,hozpera,hozpera,hotzadala,izoztu,izoztu,"friolero,izoztu",hozpera,hozpera,hozpera,"hozkil,beratz",hozkil,hozpera,hozpera,hozpera
40,izotz,izotz,izotz,izotz,izotz,izotz,"izotz,orma",izotz,izotz,izotz,"gezal,izotz",izotz,izotz,izotz,izotz,karroin,izotz,"ihintzotz,izotz,kharda"
41,izozbeltz,izozbeltz,izotz,jela,"izozbeltz,jela",izozbeltz,izozbeltz,orma,orma,izotz,"orma,ormabeltz","orma,ormabeltz","orma,ormabeltz,ormakarroin","orma,karroin,karroinbeltz","orma,ormabeltz,mitratu",karroin,"karroin,karruleida",khardabeltz
42,edur,edur,edur,elur,elur,elur,elur,elur,elur,elur,elur,elur,elur,elur,elur,elur,elur,elur
43,mataza,maluta,mataza,maluta,mataza,mataza,elurkopa,"elurzati,zafla",zafla,kopo,"elurluma,elurpikort,zafla","elurluma,elurpikort","elurluma,elurpikort","elurluma,elurgatz","elurluma,zafla","flokoin,elurluma","elurluma,kanü","elurpikort,elurluma"
44,garranga,kandela,"garranga,txintxirri","kandela,burruntzi",burruntzi,burruntzi,lantzeta,txistor,"kole,txistor",txistor,"berin,txistor","orma,kandela",txistor,ziri,tortxa,metxa,kandela,kandela
45,urtu,"urtu,lurmendu",urtu,urtu,"lurmendu,urtu","urtu,lurmendu",urtu,urtu,urtu,elurra fan,urtu,urtu,urtu,urtu,urtu,urtu,urtu,urtu
46,labandu,labandu,"labandu,laprastatu","irristatu,txirrist egin,labandu",irristatu,irristatu,irristatu,irristatu,irristatu,resbalatu,lerratu,lerratu,"lerratu,errestatu",lerratu,"lerratu,txirrist egin",lerratu,lerratu,"lerratu,larrutu,meskabitu"
47,egun,egun,egun,egun,egun,egun,egun,egun,egun,egun,egun,egun,egun,egun,egun,egun,egun,egun
48,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen,astelehen
49,martitzen,martitzen,martitzen,astearte,astearte,astearte,astearte,astearte,astearte,astearte,astearte,astearte,astearte,astearte,astearte,astearte,astearte,astearte
50,"eguazten,asteazken",eguazten,eguazten,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken,asteazken
51,eguen,eguen,eguen,ostegun,ostegun,ostegun,ostegun,ortzegun,ortzegun,ortzegun,ortzegun,ortzegun,ortzegun,ortzegun,"ostegun,ortzegun",ostegun,ortzegun,ostegun
52,egubakoitz,bariku,egubakoitz,ostiral,ostiral,ostiral,ostiral,ortziral,ortziral,ortziral,ortziral,ortziral,ortziral,ortziral,ortziral,ostiral,ostiral,ostiral
53,zapatu,zapatu,zapatu,larunbat,larunbat,larunbat,larunbat,larunbat,larunbat,larunbat,larunbat,larunbat,larunbat,ebiakoitz,ebiakoitz,ebiakoitz,neskenegun,neskenegun
54,domeka,domeka,domeka,igande,"jai,igande",igande,igande,igande,igande,igande,igande,igande,igande,igande,igande,igande,igande,igande
55,aste,aste,aste,aste,aste,aste,aste,aste,aste,aste,aste,aste,aste,aste,aste,aste,aste,aste
56,uda,uda,uda,udara,udara,udara,uda,uda,uda,uda,uda,uda,uda,uda,uda,uda,uda,uda
57,udazken,udazken,udazken,udazken,"udatzen,udaratzen",udazken,udazken,urri,urri,abendu,"larrazken,udazken",udazken,larrazken,larrazken,larrazken,larrazken,larrazken,larrazken
58,negu,negu,negu,negu,negu,negu,negu,negu,negu,negu,negu,negu,negu,negu,negu,negu,negu,negu
59,udaberri,udaberri,udaberri,udaberri,"primabera,udaberri",udaberri,primabera,primabera,primabera,primabera,"primadera,udaberri","primadera,udaberri",primadera,primadera,primadera,primadera,bedatse,bedatse
60,"hila,hilabete","hila,hilabete",hilabete,hilabete,"hila,hilabete","hila,hilabete","hilabete,hila",hilabete,hilabete,hilabete,hilabete,hilabete,hilabete,hilabete,hilabete,hilabete,hilabete,hilabete
61,enero,enero,ilbeltz,enero,ilbeltz,ilbeltz,ilbeltz,ilbeltz,ilbeltz,"izotzila,neguila",urtarrila,urtarrila,urtarrila,urtarrila,urtarrila,urtarrila,urtaila,urtaila
62,febrero,febrero,otsail,"otsail,febrero",otsail,otsail,otsail,otsail,otsail,otsail,otsail,otsail,otsail,otsail,otsail,otsail,bantail,bantail
63,marti,martxo,"epail,marti","martxo,epail",martxo,martxo,martxo,martxo,martxo,martxo,martxo,martxo,martxo,martxo,martxo,martxo,martxo,martxo
64,apiril,abril,apiril,apiril,apiril,apiril,apiril,apiril,apiril,apiril,apiril,apiril,apiril,apiril,apiril,apiril,apiril,apiril
65,maiatz,mayo,"maiatz,lorail",maiatz,maiatz,maiatz,maiatz,maiatz,maiatz,maiatz,maiatz,maiatz,maiatz,maiatz,maiatz,maiatz,maiatz,maiatz
66,junio,junio,garagarril,junio,junio,garagarril,garagartzaro,ekain,eriaro,garagartzaro,"ekain,eriaro",eriaro,"ekain,eriaro",ekain,ekain,ekain,arramaiatz,arramaiatz
67,julio,julio,uztail,julio,"julio,uztail",uzta,garil,garagartzaro,julio,garil,uztail,uztail,uztail,uztail,uztail,uztail,uztail,uztail
68,agosto,agosto,"dagonil,agosto",agosto,agosto,agosto,abuztu,abuztu,agosto,"agosto,abuztu","agosto,agorril",abuztu,"agosto,agorril",agorril,agorril,agorril,agorril,agorril
69,setienbre,setienbre,"agor,agorril",setienbre,"setienbre,agor",setienbre,urri,buruil,setienbre,bigarren agustu,buruil,buruil,buruil,buruil,buruil,buruil,seteme,seteme
70,oktubre,oktubre,"urril,urri","oktubre,urril","urril,oktubre",urri,lastail,urri,"urri,buruil",azaro,urri,urri,urri,urri,urri,urri,urrieta,urrieta
71,"nobienbre,zemendi",nobienbre,"azaro,zemendi","nobienbre,azaro",azaro,azaro,azaro,azaro,nobienbre,abendu,"hazil,azaro",hazil,hazil,azaro,azaro,azaro,azaro,azaro
72,dizienbre,dizienbre,abendu,"dizienbre,abendu",abendu,abendu,abendu,abendu,abendu,bigarren abendu,abendu,abendu,abendu,abendu,abendu,abendu,abendu,abendu
73,urte,urte,urte,urte,urte,urte,urte,urte,urte,urte,urte,urte,urte,urte,urte,urte,urte,urte
74,iaz,"aurreko urtean,lehengo urtean,iaz",joan den urtean,"pasa den urtean,joan den urtean","joan den urtean,lehengo urtean,iaz,iazko urtean","lehengo urtean,iaz",joan den urtean,"joan den urtean,iaz","joan den urtean,iaz",iaz,"iazko urtean,iaz,joan den urtean","iazko urtean,iaz,joan den urtean","joan den urtean,iaz","joan den urtean,iaz","iaz,joan den urtean",iaz,"iragan urtean,iragan den urtean",iragan urtean
75,aurten,aurten,aurten,aurten,"aurtengo urtean,urte honetan,aurten",aurten,aurten,aurten,aurten,aurten,"aurtengo urtean,aurten",aurten,aurten,aurten,aurten,aurten,"urte honetan,aurten",aurten
76,datorren urtean,datorren urtean,datorren urtean,datorren urtean,hurrengo urtean,datorren urtean,"heldu den urtean,datorren urtean",heldu den urtean,"datorren urtean,heldu den urtean",jiten den urtean,heldu den urtean,heldu den urtean,heldu den urtean,heldu den urtean,heldu den urtean,heldu den urtean,dagun urtean,dagun urtean
