"","Abaurregaina-1","Ahetze-2","Aia-3","Aldude-4","Alkotz-5","Altzai-6","Altzuruku-7","Amezketa-8","Andoain-9","Aniz-10","Aramaio-11","Araotz-12","Arbizu-13","Arboti-14","Armendaritze-15","Arnegi-16","Arrangoitze-17","Arrasate-18","Arrazola-19","Arrieta-20","Arrueta-21","Asteasu-22","Ataun-23","Azkaine-24","Azkoitia-25","Azpeitia-26","Baigorri-27","Bakio-28","Bardoze-29","Barkoxe-30","Bastida-31","Beasain-32","Behorlegi-33","Beizama-34","Bergara-35","Bermeo-36","Berriz-37","Beruete-38","Beskoitze-39","Bidarrai-40","Bolibar-41","Busturia-42","Deba-43","Dima-44","Domintxaine-45","Donamaria-46","Donibane Lohizune-47","Donostia-48","Dorrao-49","Eibar-50","Elantxobe-51","Elduain-52","Elgoibar-53","Elorrio-54","Erratzu-55","Errezil-56","Errigoiti-57","Eskiula-58","Etxalar-59","Etxaleku-60","Etxarri-Larraun-61","Etxebarri-62","Etxebarria-63","Eugi-64","Ezkio-Itsaso-65","Ezkurra-66","Ezterenzubi-67","Fika-68","Gaintza-69","Gamarte-70","Garruze-71","Getaria-72","Getxo-73","Gizaburuaga-74","Goizueta-75","Hazparne-76","Hendaia-77","Hernani-78","Hondarribia-79","Ibarruri-80","Igoa-81","Ikaztegieta-82","Irisarri-83","Itsasu-84","Izturitze-85","Jaurrieta-86","Jutsi-87","Kortezubi-88","Landibarre-89","Larrabetzu-90","Larraine-91","Larzabale-92","Lasarte-Oria-93","Laukiz-94","Legazpi-95","Leintz Gatzaga-96","Leioa-97","Leitza-98","Lekaroz-99","Lekeitio-100","Lemoa-101","Lemoiz-102","Luzaide-103","Makea-104","Manaria-105","Mendaro-106","Mendata-107","Mezkiritz-108","Montori-109","Mugerre-110","Mungia-111","Oderitz-112","Oiartzun-113","Onati-114","Ondarroa-115","Orexa-116","Orio-117","Orozko-118","Otxandio-119","Pagola-120","Pasaia-121","Santa Grazi-122","Sara-123","Senpere-124","Sohuta-125","Sondika-126","Suarbe-127","Sunbilla-128","Tolosa-129","Uharte Garazi-130","Urdiain-131","Urdinarbe-132","Urketa-133","Urretxu-134","Urrustoi-135","Uztaritze-136","Zaratamo-137","Zeanuri-138","Zeberio-139","Zegama-140","Zestoa-141","Zilbeti-142","Zollo-143","Zornotza-144","Zugarramurdi-145"
"Abaurregaina-1",0,40.609080841639,43.994750656168,35.63842571729,33.0471648118707,47.9968203497615,47.7986567051543,46.5931758530184,45.7404500261643,35.0681341719077,53.6942675159236,51.3008862851134,40.2234490010515,42.784,41.0323749151007,39.2667576584774,43.0626326963906,52.795358649789,55.4153522607781,57.984126984127,42.1033013844515,45.2358455193101,44.6908873439486,42.0609884332282,47.687074829932,45.4563179602549,38.4832730560578,58.8871308016878,44.6550772626932,48.206974128234,42.2889091738932,45.9958071278826,39.569089125349,44.2714884696017,48.2107695398835,57.3851030110935,53.6054421768708,39.0288713910761,40.4391534391534,38.6936936936937,53.2673415823022,57.7248677248677,48.3568812140241,56.5795403334836,42.0859872611465,39.3312101910828,42.0181763557158,44.6091644204852,42.3270440251572,50.9288747346072,57.2426666666667,44.5750973345313,49.0431125131441,54.7880690737834,34.0021063717746,44.3815513626834,57.9226285108638,48.4314784801008,38.0128781072177,36.1859265999393,41.7425431711146,57.1079213184476,54.2213237496256,31.5825446898002,45.1543694400837,40.4664570230608,40,56.9695599758891,42.6939203354298,39.6528563881971,40.2618282039504,46.417714884696,58.706942236354,54.5110410094637,44.6308016877637,39.688325409403,42.2979397781299,45.6397797214124,46.0242232754081,58.0441640378549,38.489197876953,43.750950859577,38.7158428772352,38.7443845462713,40.5251073175601,28.6763129689174,40.793150067598,56.1994750656168,38.988000905592,55.9183673469388,48.3174856737157,40.2459692538432,46.031746031746,58.5308056872038,46.992125984252,53.8057742782152,57.8590355060943,43.7002096436059,35.2320675105485,56.005291005291,56.817082388511,58.94708994709,35.3025165762507,39.4978969505783,55.0605581885203,49.1509433962264,58.187134502924,25.9978598180845,48.2396190476191,42.0661375661375,57.98687664042,40.5600479185384,43.7332735291919,52.4619422572179,55.3729523809524,43.2861635220126,45.5976829910479,54.9815692469721,54.3328100470958,45.7542826956456,45.5310199789695,48.287676401781,40.0757405324334,41.2472730008275,47.6437946342405,58.1913774973712,35.0761154855643,37.4701436130007,44.6645702306079,38.1558028616852,42.2239747634069,45.5020302694721,41.6131351869607,45.9262166405024,46.4266907394869,40.4811270600744,55.6029489204845,56.7767295597484,56.4928909952607,45.4578754578755,44.570157733423,31.67194092827,56.8957203134418,54.5622362869198,35.9989401165872
"Ahetze-2",40.609080841639,0,41.8530701754386,26.2456622325043,36.924570160843,40.6479172042086,41.559405940594,43.3022660818713,43.6775956284153,35.8091589126071,52.9198966408269,51.7755692961624,43.5203520352035,34.8103982828523,29.2853207398661,27.945055499132,18.6922530206112,54.068870523416,55.6177924217463,58.1015452538632,33.0664139619363,43.031015037594,43.1540463179807,19.6000314317145,47.3387978142076,44.6984649122807,28.1678041892209,57.1247240618102,33.170807315885,40.7262633371007,32.263492063492,44.0467068053275,30.1233694798051,42.6556676310371,49.0809392627574,57.3123620309051,54.0655737704918,39.7199341021416,24.7113997113996,22.3945926931001,53.9638157894737,57.4184632393588,48.6271142336716,55.4301546888038,34.0389323225143,36.7979293769643,18.031798245614,43.0173088972431,44.5952132159028,52.8896283971159,56.5161649944259,42.4083196496989,49.3300384404173,55.3460837887067,34.6034356725146,43.2092683816822,57.2547856351843,42.5080428598016,32.1999374462428,39.0174099689959,41.2404371584699,57.5300103346848,54.8549534756431,38.7485242030696,42.7814207650273,38.163544106167,29.9708293913591,55.2891919228553,42.4153569473767,29.6717827626918,30.2484126984127,44.522897281518,59.6185737976783,54.5872231374703,41.0495867768595,27.5781188508461,23.4873487348734,43.5480093676815,40.6930693069306,57.5562877539814,39.0568447945497,42.7154926320202,27.58966098075,23.373993275471,27.1040216853024,39.570072585148,30.9378437843784,55.3947368421053,27.6600441501103,55.2373145979703,41.1376541742598,30.9096961152882,43.846033550467,58.3168316831683,44.7181622924197,55.3527046783626,57.0007382798081,39.6661193212917,35.9442103150712,56.7716970702046,56.4790286975718,59.2445181499908,27.4900304949565,23.5213032581453,54.3564356435644,49.5705826740309,57.4698571693564,39.6336689038031,41.551443001443,28.1592802137356,57.6470021206864,39.3541324575807,41.8274785323965,51.7655134541461,55.9304458801946,40.3721948549534,45.3922491566643,55.2213793894189,54.0109289617486,36.4773893878371,43.1178577966057,40.7508250825082,16.5589719530605,15.2655979883702,40.2366235202056,55.4375437543755,37.0136278195488,35.9117112848456,43.3114395183361,27.9320403658151,46.5841584158416,38.209237650862,28.3027447089946,44.4773614363778,38.2226834121397,19.9920766975675,56.8996626657253,55.7252326217844,56.996699669967,44.0084451068057,42.7861046057767,36.1579430670339,56.6687857596949,53.5867768595041,27.0867882808181
"Aia-3",43.994750656168,41.8530701754386,0,46.5380532721124,37.7358490566037,53.2154052843708,54.5256696428572,22.5051759834368,21.9652071354857,41.8863049095607,44.1391941391941,42.1210101458935,35.1739356178608,52.7628811777077,50.1130952380953,48.675338267175,46.2158929505868,44.5628110838719,46.5889061689995,52.0493330352485,51.8232720909886,18.659420289855,21.1945304437564,43.5350838154576,26.1963732861565,20.4451345755693,49.2325978753436,51.1648465938638,52.6173645096973,54.6885877212471,51.6430446194226,24.9715762273901,49.0022321428572,16.1218161683278,36.4920882549587,50.2236089443578,44.8334070470293,31.8869880767236,49.6462158531124,46.9976862218242,44.044661342798,50.421875,27.6802299867314,49.542323928016,51.4102564102564,39.345892203035,42.7005109975561,20.2270038450162,36.3314876338132,40.6708595387841,49.4803149606299,20.7567368032484,30.2695697252462,45.5830753353973,42.4922118380062,16.2126245847176,50.187341394238,55.632,35.7844222960501,33.2251765059336,28.6399823087129,52.1208944793851,44.2104097452934,41.7524700988039,21.3209494324044,28.9612403100775,50.3558346415489,48.9053562142486,27.7467700258397,50.0822172619048,50.3456342917516,22.0531561461793,52.8586332811685,45.1401869158878,30.6890275611024,50.1577380952381,42.7284226190476,22.2233279276622,29.2575285565939,48.8335925349922,31.4949137549756,20.9343548144809,48.5269097222222,47.9036544850498,49.494893564661,44.4780074191839,50.1869158878505,48.3178053830228,48.827380952381,48.0495356037152,54.4725659292589,50.4033569949719,20.146671588532,52.2274143302181,25.3953419373979,43.0387596899225,51.6326530612245,25.6279069767441,41.6349951561219,46.78125,50.623369848722,53.7135416666667,43.2620161949335,48.6714063541435,46.3548840998297,29.6814322628275,50.1362683438155,42.4367088607595,54.1689199339042,50.0208659363589,49.6840185349502,28.781838316722,25.5182072829131,38.2888987632378,44.8873366381253,23.6950904392764,20.906393710132,48.999653859467,45.6811145510836,51.9868637110017,28.3307413167444,53.8463541666667,43.8243123336291,43.9886515353805,54.1652225325695,52.2556000593384,35.3726708074534,36.3328116849243,22.0937615356219,49.0550945652987,35.4984423676012,52.0399040842391,51.991341991342,22.5910364145658,54.6595460614152,46.4173405211141,49.1518320723928,51.1627906976744,50.7840083073728,26.1049683031106,17.533171163202,43.1669266770671,51.5506525022906,46.8330733229329,40.7042253521126
"Aldude-4",35.63842571729,26.2456622325043,46.5380532721124,0,37.9162923030847,38.5930397198002,39.1459010473094,46.9591097308489,47.0771502399409,35.9638242894056,52.1368767287135,53.5135736537606,45.6282450674974,29.1475138951479,22.3621031746031,18.151304477835,28.8532555879494,54.4553571428572,55.9293873312565,59.4427028909788,26.9734865555054,46.710730948678,45.859357696567,29.9508343970122,50.1907222837456,47.5959663284702,18.1204569055035,58.7480438184664,28.5209352909189,40.0056553089212,26.9962504686913,47.0419254658385,20.5506524725274,46.4514581026209,50.7013042426459,58.3376804034081,54.4487398906004,43.3892103050981,24.2159277504104,18.680431547619,54.5503468365055,58.4447927551376,51.2074566260613,57.2811897344608,28.2920110192837,39.8430141287284,29.0188938787069,45.562591029154,46.0570544007076,53.2178477690289,57.3775671406003,46.3450227636274,52.6034712950601,56.0077519379845,34.9221183800622,46.088065661047,58.5931267406935,41.3978412698412,36.3979328165374,41.1038391133178,44.6993970714901,58.8107948833501,55.8717834960071,37.4858232424535,46.2409253106927,40.8118899733806,20.5208017272842,57.2301587301587,45.2147163775071,20.4280641233765,24.9701909289864,47.1502514049098,61.1582068724926,55.5980239209569,44.076591635094,22.6354166666666,32.4110092654693,47.6302224906876,46.1284181377639,58.5306334371755,42.109685979655,46.1338582677165,20.4503968253967,21.3832678948957,22.8660254474207,36.1116166211707,22.2580275384013,56.4385692068429,21.3805465367965,56.6842511493674,39.4549152803869,22.7961401952084,45.905057675244,60.3536141445658,48.7300349156824,54.9948159668222,59.0277777777778,43.4900947459086,35.3781950965049,57.9850226401951,57.3852949558279,60.457157784744,19.204117063492,21.5300303636228,56.2679840526955,51.5860692102928,59.0352260778128,36.6371882086167,41.9595914075409,26.8574409419479,58.6902910464341,43.1338149294805,46.7429555801649,54.2301969404773,56.813360689943,44.7975882859604,49.4882064975523,56.11457791645,55.5658914728682,35.3685073403383,49.5664589823468,40.5793166791606,29.8076970549754,29.7427923090949,38.5235245423333,58.6167446697868,38.9492936004564,39.2110688824303,46.8048161293503,16.9088458711099,47.5545171339564,38.0517824616185,28.1566312475403,47.422665190107,37.8760864720303,25.8433945756779,58.17979212675,57.7058069604654,58.3688680880569,46.6710963455149,46.0840408514827,36.1822916666666,57.4136904761905,55.6770833333333,33.5518676335002
"Alkotz-5",33.0471648118707,36.924570160843,37.7358490566037,37.9162923030847,0,50.7365481850427,49.4394213381555,37.9350104821803,37.957157784744,23.6990595611285,48.957671957672,47.3715785526809,31.5146750524109,48.0276448697501,44.8890393440156,41.7698412698412,40.5405405405405,49.2271293375394,52.6824146981627,54.6962493396725,46.9608364345207,37.8848457622042,35.3500522466039,38.6225026288117,40.9344678310195,38.212788259958,41.4218116268589,55.0763559768299,48.2068206820682,51.7819706498952,45.9076433121019,39.0005232862375,42.2353870458136,38.3411826268969,44.9729607931501,54.7151898734177,51.1389759665622,27.0971128608923,44.648705758056,41.162176439514,51.7662473794549,55.4146856840993,42.8944618599791,52.6572327044025,46.989417989418,24.3687268885366,38.7086614173228,36.0710553814002,36.0971786833855,48.9437367303609,54.2119275825346,35.8974358974359,45.0491188601425,52.5287356321839,26.1574803149606,38.152799581371,54.7385103011094,51.4347357065804,28.4611371935315,21.2420382165604,31.201671891327,54.1619199513936,51.7866487254242,21.4570230607966,38.3072100313479,30.5180533751962,43.5759565315825,52.6794804282956,31.8808777429466,43.5650342285413,44.1933760683761,39.6336996336996,56.4131008980454,51.4173228346457,33.9810426540284,42.9805160610848,39.8048523206751,37.4205105239588,37.5223097112861,53.7211740041929,24.5793278187643,36.0917445127971,41.9529075453246,40.6844305120167,45.104730692505,37.540192926045,44.7716535433071,54.5754716981132,43.1437598736177,52.8056426332288,50.1721261753109,44.7681343599711,37.4119757793227,55.6466876971609,40.1964754405699,51.1844863731656,54.0275569687334,31.3322884012538,24.003164556962,55.1505546751189,52.5937665081881,57.204641350211,33.5966298051606,41.5431266846361,52.534174553102,43.3647305075876,55.1727804359383,27.6426666666666,51.1577666210254,45.4008438818565,53.7994159928122,30.4829078967009,37.0682191371846,49.1098612673416,52.3352380952381,34.9345892203035,39.043112513144,51.8296529968454,52.0794148380355,48.1329113924051,38.5564304461942,50.8158429248477,35.809374064091,36.9716088328075,50.8130511463845,54.1102362204724,18.8069073783359,25.4430379746835,38.2758620689655,41.4867724867725,36.9968553459119,48.1505172549949,46.2820512820513,40.6060606060606,49.6342196184467,40.504246284501,52.8969505783386,52.5222396650968,52.8781733513595,38.3072100313479,37.6201671891327,23.243812532912,53.3145561063542,51.1502294440683,30.3561995321107
"Altzai-6",47.9968203497615,40.6479172042086,53.2154052843708,38.5930397198002,50.7365481850427,0,14.1719928394456,56.1206896551724,54.7682291666667,49.983630952381,60.0316455696203,59.5021305225387,54.2926914355486,33.6366618719559,37.1147356580427,35.8401145268233,42.3364978902953,61.1023622047244,62.5715780817822,65.1731260327475,35.1368102796674,54.8141513658755,55.1692708333333,44.141459518818,58.1376488095238,56.5186346220829,36.8042161919712,63.5035620547432,37.7437082289056,15.6172275999861,37.7618041405679,55.0599895670318,35.6212859756166,54.9374021909233,57.8861051459477,63.7381703470032,61.6875,53.5994617627271,38.0618146312152,37.9960943367883,61.4437478230582,64.9969956436834,57.9965277777778,63.5175648106683,29.1591724056178,51.3238396624473,44.3500037377588,55.1047420012937,54.8880208333333,60.121500264131,62.8162616397911,54.0392975134759,59.5081109366824,62.203125,48.4764894968977,54.8800208659364,63.8841169379144,18.9844615931572,49.5786210317461,50.9329188150844,53.9505208333333,65.3361344537815,62.9334028864545,50.5727762803235,55.8767361111111,51.0738505104702,36.3340114526823,63.9803774528184,55.1614583333333,33.5654293213348,35.6649198754461,55.9415753781951,65.1318565400844,61.4255812214996,54.0989876265467,38.0663667041619,47.3670572329878,55.5140128968254,54.9891604993646,64.3965517241379,54.3543075056336,54.883034294799,37.7343741123268,40.3335813492063,36.5005229145854,45.9275395551479,34.946509429268,61.6188983430363,35.726534183227,64.5673363095238,17.9560329086394,33.4253670169162,54.8175472588618,65.0943396226415,56.4638750487807,61.456933870727,63.8004678892159,53.296875,50.1077812828602,63.1858873091101,64.4245405838466,65.4963765390306,38.3487064116985,38.9229735781459,63.1628915302385,59.1653625456443,65.129835718071,49.0518028297581,15.5769375896158,39.0487456812377,64.1488779419814,53.4866071428572,55.1328125,60.6402780892577,62.5952507531455,54.9631120053655,56.8782238169993,63.607367475292,63.3229166666667,17.621926793851,57.9061074979443,16.7124184341165,43.9540727471762,43.919087551163,13.7044077565404,63.6313267445343,49.9843505477309,50.329477742727,54.4779789850213,36.4760397830017,55.9445316588174,15.9390361704411,38.1849995077948,55.5416666666667,16.0706798442647,39.9826428194098,64.6497204751922,64.4910201952456,64.3051811919737,55.9345238095238,54.953125,48.981627296588,64.1054868141482,62.0174978127734,48.9459011452683
"Altzuruku-7",47.7986567051543,41.559405940594,54.5256696428572,39.1459010473094,49.4394213381555,14.1719928394456,0,56.5078125,55.7654650645305,48.8975749506171,60.3054239073196,60.6041185383908,54.367816091954,34.4810163381591,38.1058223746902,37.1797072507972,43.4637663547616,62.4908424908425,62.6574260377078,64.1128608923885,36.4023256982117,55.3973214285714,55.3946002076843,45.2434442951684,59.3483904465213,56.9283234126984,38.208492188084,62.70964360587,39.0073059909125,16.17519161873,38.7164707655214,55.203922442612,36.6352201257861,55.5946809300944,58.8912221565283,62.8878406708596,62.1651090342679,53.0330128921678,39.795578588954,39.1623991150804,61.7881944444445,64.6456692913386,59.0802551550215,63.1239287577316,30.4095044853338,50.4726798565661,44.5289209138974,55.9832589285714,54.3414308000891,61.278399870172,62.3009768009768,54.9535886197353,60.8659363588941,62.2533748701973,48.3223864258347,55.6604264170567,63.4542586750789,18.6749633459103,48.8520112233061,50.897833207357,54.7674677347575,64.4709833220134,62.9866527994453,50.2758466023772,56.0915979140278,51.0858720063088,36.2780536121768,63.2663028581396,55.1612064482579,35.055318830829,37.4879066439576,56.528489711017,64.7476340694006,61.6271085236603,53.5966153156106,39.2669097150229,48.3625336927224,55.9795967272603,56.5589582830962,64.2421875,52.7864312911042,56.2747543461829,40.186925234095,41.0658331095148,37.8963268806441,46.016,36.3867741453948,61.2728365384615,36.594328103762,64.136997478119,18.2299372568359,34.2174761002885,55.517811188638,64.3282579489476,57.3757277205553,62.1575091575092,63.2109631635698,54.2418839610727,49.5049255206736,63.5590551181103,63.3543307086614,65.0573678290214,38.6652463183075,39.4982239113694,63.0759757483896,59.6850159720675,64.4479661912309,49.1442103544014,17.0711415719339,40.4395028451632,63.7136036706349,53.1421828301703,55.3810208483106,61.316044414636,62.3746435511142,54.8488225243296,57.6907001044932,62.9643919299092,63.3748701973001,19.0698785966924,58.3869026122548,17.5813389964332,44.6224721459096,44.6363023949231,15.7705713629883,63.1527093596059,48.6049107142857,50.1319835020623,54.6475001857217,38.125618457372,55.2873563218391,17.6259106077886,40.0361017817851,55.9827918706424,17.5669141029642,40.9599037087188,63.9553167139374,63.7530644082906,63.1161367368264,56.3833259160362,55.4513425307818,49.1248660636416,63.457177742892,61.4913657770801,47.8150818687096
"Amezketa-8",46.5931758530184,43.3022660818713,22.5051759834368,46.9591097308489,37.9350104821803,56.1206896551724,56.5078125,0,21.3106295149638,40.0465116279069,43.5217163788592,42.6234910760572,35.4257528556594,53.4437434279706,50.3229166666667,49.8295581969051,46.3736263736264,42.4960998439938,46.7236910316226,51.4658320292123,52.5826771653543,17.4475007394261,19.4213474863629,45.3997923156802,28.4512752469408,22.7343981070688,49.3670603967016,50.9583333333333,54.4589450788472,55.843886543731,52.9553805774278,21.1627906976743,49.53125,19.8083443903876,38.2275132275132,50.328125,45.2366209641751,32.2032141005702,50.98223615465,48.4326018808777,47.2766932860101,51.434533124674,31.6814094058676,50.6524476042361,52.8197652687449,37.1009942438513,45.1758868399615,25.2088879029872,36.2229102167182,42.4423480083857,49.1062039957939,16.7536488279522,31.4774494556765,47.4664602683179,40.6022845275181,21.8752307124399,50.6563168632134,56.1569523809524,36.1469176818014,33.8636022232236,30.0464396284829,50.9383827021622,45.328903654485,43.5591709382661,21.1455108359132,29.2912513842746,50.9075278463034,50.6770175568928,24.9243263196751,50.8541666666667,50.6391970417327,26.2558139534883,52.3719958202717,46.8639667705088,30.0519210799584,50.8980654761905,43.8333333333333,21.7138434321096,32.0820353063343,48.2685329186107,32.3573639982308,22.6115603474093,49.2318948412698,49.1103728313031,51.8397932816538,44.74297827239,51.3707165109034,48.3540372670807,50.0833333333333,49.1611381394663,54.586176727909,51.9014344868382,22.9025470653377,52.4143302180685,26.684839044652,44.0579710144927,51.6012558869702,26.1653746770025,39.7183098591549,48.9671361502347,51.7549742901856,52.8221178925404,43.2107570017086,50.3913945049248,46.6251298026999,34.2059800664451,50.8136482939632,45.0026413100898,55.7281808622503,50.7563901930099,50.0290840974071,31.1919504643962,30.0582338198437,40.5250685032955,46.4698212091577,19.5201238390092,24.8130841121495,48.917445482866,46.4241486068111,53.5042543663233,30.3939865215137,56.0390625,44.349304939367,43.7843049992583,56.363160648875,52.1131879543094,36.6437799926172,35.8215962441314,19.8028792912513,50.1457725947522,37.0664589823468,53.2537080405933,52.913813459268,26.7720772519533,55.5600059338377,48.9098532494759,50.5518469069871,51.1214470284238,51.6043613707165,25.0515995872032,24.4600471767654,43.4373374934997,51.1013297674764,49.0899635985439,40.4649947753396
"Andoain-9",45.7404500261643,43.6775956284153,21.9652071354857,47.0771502399409,37.957157784744,54.7682291666667,55.7654650645305,21.3106295149638,0,41.6537867078825,44.7626499739176,41.7286821705426,33.4753031647441,53.2569631626236,50.0311526479751,48.7055667337358,47.1987480438185,43.8206324520477,48.5891472868217,53.2211574177253,52.0927711744038,16.2409700722394,23.8962375073485,44.8654244306418,27.5293944738388,25.6250921421199,49.4815966822188,52.6583592938733,53.810298102981,55.4491090305044,52.3988936233834,26.1463163317877,48.4423676012461,18.4595569294178,37.2746797008072,51.8172377985462,46.7974720752498,32.454042081949,50.7574404761905,48.9114583333333,48.2861565678903,52.2152886115445,28.3061434450323,52.6511627906977,51.8414188836724,36.4840897235263,44.4407530454042,20.5196815568332,36.02266872746,41.2852664576803,51.1897274633124,19.0321630970781,32.1004060538944,46.3425925925926,42.1532091097308,21.9835136527562,53.7310267857143,56.0114933799145,37.2326488555236,34.7611560347409,31.3683127572016,52.0243701876355,47.183705012144,42.1150855365474,25.0191064079952,31.0613086038124,51.1289961994188,51.0475449900022,28.3256053580628,50.4153686396677,51.6061084781464,23.8150437918598,54.0572916666667,48.7474120082816,31.3641413019328,51.15709835336,43.0529595015576,20.2454438565549,30.2632357290742,52.0568475452196,31.111845972957,22.6302785265048,49.2415813677496,48.3690292191065,50.8057836033107,45.1928156365557,50.8592132505176,51.2229102167183,50.1038421599169,50.4600235155791,55.0811093668237,51.5162907268171,20.0743357621255,52.5,28.9230257320319,43.5500515995872,54.4183620239958,28.7995878413189,39.9219968798752,49.1055642225689,52.1528861154446,55.2522100884035,43.8880248833592,49.8032484311554,47.2515527950311,29.7335688525796,52.1873364730507,44.3285939968404,54.5283018867925,50.4420176807072,52.4662145559978,28.9401633914771,25.379923574368,41.1236618678479,46.0194975628046,23.7403400309118,22.463768115942,50.4451345755694,47.3713991769547,53.2953869047619,25.8656330749353,55.3345201008752,44.3004570249152,43.6638568470866,55.5740503627828,52.5207039337474,35.8528674627746,36.138474110393,20.5299183042614,49.1444966092853,35.1086956521739,52.3749772685943,52.3984728432834,26.5446796002351,55.6388642413487,47.2413793103448,51.74578527063,53.2560535806286,53.7267080745342,28.2716049382715,23.1345532039976,42.7527216174184,50.5095164037621,49.3253351107161,40.9114583333333
"Aniz-10",35.0681341719077,35.8091589126071,41.8863049095607,35.9638242894056,23.6990595611285,49.983630952381,48.8975749506171,40.0465116279069,41.6537867078825,0,50.1462904911181,50.0384501626738,37.6626737651582,46.3207547169811,41.6484942886812,39.3240927043743,38.1295715778474,51.116303219107,54.0113871635611,56.0907738095238,44.4077568134172,39.9453672942045,39.1447707367336,38.1307857513145,43.3900051519835,41.219638242894,38.8595127008812,56.1258450338013,46.1409214092141,51.2609819121447,43.2705389848247,39.5820433436532,40.0588438906195,41.1919504643962,47.808559560896,55.1742069682787,51.7825862957239,34.6894409937888,41.9479166666666,38.7313988095237,53.5968992248062,55.9114583333333,45.414734672849,54.1252587991719,44.6240405395335,24.9114583333333,37.8512274475007,42.3204134366925,39.1808346213292,49.858934169279,54.1732283464567,39.1589267285861,48.6201550387597,53.3745492014426,18.4109730848861,42.6676986584107,55.7902973395931,51.1802232854865,25.4507985574445,29.6115485564304,36.0587326120556,55.6263102725367,53.2043343653251,23.3851736651114,41.8547140649149,33.766769865841,40.8287139742538,54.0338970479158,36.02266872746,40.6645898234683,41.9957872564507,43.469703670942,57.7099634846114,53.7065837221358,37.0390149829402,40.0155763239875,37.7639105564222,39.705600942077,40.0828157349896,54.648033126294,32.1913580246913,40.3805774278215,40.0545171339563,38.8820195775373,42.3819337111454,39.4973544973544,43.092280390417,54.3565891472868,40.542204420709,53.1427099433282,48.9888116418729,43.468475109342,40.0770308123249,56.962156557802,44.6010795622596,53.8242894056848,55.1462904911181,34.6522411128283,15.1690067602704,55.6666666666667,54.8489583333334,57.578125,33.0477673935617,40.1314138058324,53.9346811819596,47.3116615067079,55.4297693920336,29.8206751054852,50.2227221597301,44.4201768070722,55.4592100406054,34.5955692941782,39.8859203650548,51.3146997929607,54.6089238845144,38.1630546955624,42.8823224468636,52.6542249870399,53.5703245749614,47.3246527777778,41.8271221532091,50.2173268061119,35.9328165374676,35.8083388876545,49.509650495566,53.9657853810264,26.3003095975232,27.8089304257528,39.4169246646027,38.7251828631138,41.8811369509044,47.3005464480874,43.9813289401428,42.1792890262751,48.7713841368585,38.7882185841369,54.1524105754277,53.5655314757482,53.7376879212027,41.8804739824832,40.9218370501214,24.5638629283488,53.141225337487,53.65005192108,32.4687499999999
