,"Abaurregaina-1","Ahetze-2","Aia-3","Aldude-4","Alkotz-5","Altzai-6","Altzuruku-7","Amezketa-8","Andoain-9","Aniz-10","Aramaio-11","Araotz-12","Arbizu-13","Arboti-14","Armendaritze-15","Arnegi-16","Arrangoitze-17","Arrasate-18"
"Abaurregaina-1",0,40.609080841639,43.994750656168,35.63842571729,33.0471648118707,47.9968203497615,47.7986567051543,46.5931758530184,45.7404500261643,35.0681341719077,53.6942675159236,51.3008862851134,40.2234490010515,42.784,41.0323749151007,39.2667576584774,43.0626326963906,52.795358649789
"Ahetze-2",40.609080841639,0,41.8530701754386,26.2456622325043,36.924570160843,40.6479172042086,41.559405940594,43.3022660818713,43.6775956284153,35.8091589126071,52.9198966408269,51.7755692961624,43.5203520352035,34.8103982828523,29.2853207398661,27.945055499132,18.6922530206112,54.068870523416
"Aia-3",43.994750656168,41.8530701754386,0,46.5380532721124,37.7358490566037,53.2154052843708,54.5256696428572,22.5051759834368,21.9652071354857,41.8863049095607,44.1391941391941,42.1210101458935,35.1739356178608,52.7628811777077,50.1130952380953,48.675338267175,46.2158929505868,44.5628110838719
"Aldude-4",35.63842571729,26.2456622325043,46.5380532721124,0,37.9162923030847,38.5930397198002,39.1459010473094,46.9591097308489,47.0771502399409,35.9638242894056,52.1368767287135,53.5135736537606,45.6282450674974,29.1475138951479,22.3621031746031,18.151304477835,28.8532555879494,54.4553571428572
"Alkotz-5",33.0471648118707,36.924570160843,37.7358490566037,37.9162923030847,0,50.7365481850427,49.4394213381555,37.9350104821803,37.957157784744,23.6990595611285,48.957671957672,47.3715785526809,31.5146750524109,48.0276448697501,44.8890393440156,41.7698412698412,40.5405405405405,49.2271293375394
"Altzai-6",47.9968203497615,40.6479172042086,53.2154052843708,38.5930397198002,50.7365481850427,0,14.1719928394456,56.1206896551724,54.7682291666667,49.983630952381,60.0316455696203,59.5021305225387,54.2926914355486,33.6366618719559,37.1147356580427,35.8401145268233,42.3364978902953,61.1023622047244
"Altzuruku-7",47.7986567051543,41.559405940594,54.5256696428572,39.1459010473094,49.4394213381555,14.1719928394456,0,56.5078125,55.7654650645305,48.8975749506171,60.3054239073196,60.6041185383908,54.367816091954,34.4810163381591,38.1058223746902,37.1797072507972,43.4637663547616,62.4908424908425
"Amezketa-8",46.5931758530184,43.3022660818713,22.5051759834368,46.9591097308489,37.9350104821803,56.1206896551724,56.5078125,0,21.3106295149638,40.0465116279069,43.5217163788592,42.6234910760572,35.4257528556594,53.4437434279706,50.3229166666667,49.8295581969051,46.3736263736264,42.4960998439938
"Andoain-9",45.7404500261643,43.6775956284153,21.9652071354857,47.0771502399409,37.957157784744,54.7682291666667,55.7654650645305,21.3106295149638,0,41.6537867078825,44.7626499739176,41.7286821705426,33.4753031647441,53.2569631626236,50.0311526479751,48.7055667337358,47.1987480438185,43.8206324520477
"Aniz-10",35.0681341719077,35.8091589126071,41.8863049095607,35.9638242894056,23.6990595611285,49.983630952381,48.8975749506171,40.0465116279069,41.6537867078825,0,50.1462904911181,50.0384501626738,37.6626737651582,46.3207547169811,41.6484942886812,39.3240927043743,38.1295715778474,51.116303219107
"Aramaio-11",53.6942675159236,52.9198966408269,44.1391941391941,52.1368767287135,48.957671957672,60.0316455696203,60.3054239073196,43.5217163788592,44.7626499739176,50.1462904911181,0,24.572102425876,45.5403074615673,58.367889420521,57.3038441284887,54.962962962963,55.622971851181,16.8976377952755
"Araotz-12",51.3008862851134,51.7755692961624,42.1210101458935,53.5135736537606,47.3715785526809,59.5021305225387,60.6041185383908,42.6234910760572,41.7286821705426,50.0384501626738,24.572102425876,0,42.7172324988237,58.0175029464129,56.7173410835383,54.9888938804033,54.8311620245583,22.2027529761905
"Arbizu-13",40.2234490010515,43.5203520352035,35.1739356178608,45.6282450674974,31.5146750524109,54.2926914355486,54.367816091954,35.4257528556594,33.4753031647441,37.6626737651582,45.5403074615673,42.7172324988237,0,50.6556082148499,48.5602503912363,47.9716981132075,45.994750656168,44.0532081377152
"Arboti-14",42.784,34.8103982828523,52.7628811777077,29.1475138951479,48.0276448697501,33.6366618719559,34.4810163381591,53.4437434279706,53.2569631626236,46.3207547169811,58.367889420521,58.0175029464129,50.6556082148499,0,23.7133313240907,25.8613891416438,35.6460418562329,58.6392405063291
"Armendaritze-15",41.0323749151007,29.2853207398661,50.1130952380953,22.3621031746031,44.8890393440156,37.1147356580427,38.1058223746902,50.3229166666667,50.0311526479751,41.6484942886812,57.3038441284887,56.7173410835383,48.5602503912363,23.7133313240907,0,19.7079964061095,29.9913488302113,58.7441130298273
"Arnegi-16",39.2667576584774,27.945055499132,48.675338267175,18.151304477835,41.7698412698412,35.8401145268233,37.1797072507972,49.8295581969051,48.7055667337358,39.3240927043743,54.962962962963,54.9888938804033,47.9716981132075,25.8613891416438,19.7079964061095,0,30.1583522297807,56.6666666666667
"Arrangoitze-17",43.0626326963906,18.6922530206112,46.2158929505868,28.8532555879494,40.5405405405405,42.3364978902953,43.4637663547616,46.3736263736264,47.1987480438185,38.1295715778474,55.622971851181,54.8311620245583,45.994750656168,35.6460418562329,29.9913488302113,30.1583522297807,0,56.6005708277002
"Arrasate-18",52.795358649789,54.068870523416,44.5628110838719,54.4553571428572,49.2271293375394,61.1023622047244,62.4908424908425,42.4960998439938,43.8206324520477,51.116303219107,16.8976377952755,22.2027529761905,44.0532081377152,58.6392405063291,58.7441130298273,56.6666666666667,56.6005708277002,0
